2025-03-19_Test_coupon_2.wav => Predicted: 1, Prob: 3.8169, Ground Truth: N/A
Cross_p6cycle_067.wav => Predicted: 0, Prob: 7.5180, Ground Truth: 0
Cross_p6cycle_069.wav => Predicted: 0, Prob: 3.8207, Ground Truth: 0
Cross_p6cycle_071.wav => Predicted: 0, Prob: 5.1470, Ground Truth: N/A
Cross_p6cycle_073.wav => Predicted: 0, Prob: 8.4064, Ground Truth: 0
Cross_p6cycle_075.wav => Predicted: 0, Prob: 4.8521, Ground Truth: N/A
Cross_p6cycle_077.wav => Predicted: 0, Prob: 4.2115, Ground Truth: 0
Cross_p6cycle_079.wav => Predicted: 0, Prob: 10.6715, Ground Truth: 0
Cross_p6cycle_081.wav => Predicted: 0, Prob: 7.9956, Ground Truth: 0
Cross_p6cycle_083.wav => Predicted: 0, Prob: 6.8758, Ground Truth: 0
Cross_p6cycle_085.wav => Predicted: 0, Prob: 8.2706, Ground Truth: 0
Cross_p6cycle_087.wav => Predicted: 0, Prob: 5.0469, Ground Truth: 0
Cross_p6cycle_089.wav => Predicted: 0, Prob: 8.8956, Ground Truth: 0
Cross_p6cycle_091.wav => Predicted: 0, Prob: 9.0976, Ground Truth: 0
Cross_p6cycle_093.wav => Predicted: 0, Prob: 10.3789, Ground Truth: N/A
Cross_p6cycle_095.wav => Predicted: 0, Prob: 9.4323, Ground Truth: 0
Cross_p6cycle_097.wav => Predicted: 0, Prob: 7.5387, Ground Truth: N/A
Cross_p6cycle_099.wav => Predicted: 0, Prob: 6.9964, Ground Truth: 0
Cross_p6cycle_101.wav => Predicted: 0, Prob: 4.2523, Ground Truth: 0
Cross_p6cycle_103.wav => Predicted: 1, Prob: 3.4172, Ground Truth: N/A
Cross_p6cycle_103_augmented_1.wav => Predicted: 1, Prob: 4.8396, Ground Truth: 1
Cross_p6cycle_103_augmented_2.wav => Predicted: 1, Prob: 4.7838, Ground Truth: 1
Cross_p6cycle_103_augmented_3.wav => Predicted: 1, Prob: 5.9062, Ground Truth: 1
Cross_p6cycle_103_augmented_4.wav => Predicted: 1, Prob: 3.9546, Ground Truth: 1
Cross_p6cycle_105.wav => Predicted: 1, Prob: 4.9345, Ground Truth: 1
Cross_p6cycle_105_augmented_1.wav => Predicted: 1, Prob: 6.9210, Ground Truth: 1
Cross_p6cycle_105_augmented_2.wav => Predicted: 1, Prob: 7.6574, Ground Truth: 1
Cross_p6cycle_105_augmented_3.wav => Predicted: 1, Prob: 7.1150, Ground Truth: 1
Cross_p6cycle_105_augmented_4.wav => Predicted: 1, Prob: 7.8413, Ground Truth: 1
Cross_p6cycle_107.wav => Predicted: 1, Prob: 7.1750, Ground Truth: 1
Cross_p6cycle_107_augmented_1.wav => Predicted: 1, Prob: 7.5608, Ground Truth: N/A
Cross_p6cycle_107_augmented_2.wav => Predicted: 0, Prob: 3.8751, Ground Truth: 1
Cross_p6cycle_107_augmented_3.wav => Predicted: 1, Prob: 6.7603, Ground Truth: N/A
Cross_p6cycle_107_augmented_4.wav => Predicted: 1, Prob: 6.5745, Ground Truth: 1
Cross_p6cycle_109.wav => Predicted: 1, Prob: 5.6790, Ground Truth: 1
Cross_p6cycle_109_augmented_1.wav => Predicted: 1, Prob: 6.7770, Ground Truth: 1
Cross_p6cycle_109_augmented_2.wav => Predicted: 1, Prob: 7.3771, Ground Truth: 1
Cross_p6cycle_109_augmented_3.wav => Predicted: 1, Prob: 7.1811, Ground Truth: 1
Cross_p6cycle_109_augmented_4.wav => Predicted: 1, Prob: 7.2910, Ground Truth: 1
cross_p7s1_cycle_004.wav => Predicted: 0, Prob: 6.3394, Ground Truth: N/A
cross_p7s1_cycle_006.wav => Predicted: 0, Prob: 10.7800, Ground Truth: 0
cross_p7s1_cycle_008.wav => Predicted: 0, Prob: 9.9878, Ground Truth: N/A
cross_p7s1_cycle_010.wav => Predicted: 0, Prob: 4.6031, Ground Truth: 0
cross_p7s1_cycle_012.wav => Predicted: 0, Prob: 7.2851, Ground Truth: N/A
cross_p7s1_cycle_014.wav => Predicted: 0, Prob: 10.3666, Ground Truth: N/A
cross_p7s1_cycle_016.wav => Predicted: 0, Prob: 10.1505, Ground Truth: 0
cross_p7s1_cycle_018.wav => Predicted: 0, Prob: 8.2985, Ground Truth: 0
cross_p7s1_cycle_020.wav => Predicted: 0, Prob: 9.9289, Ground Truth: 0
cross_p7s1_cycle_022.wav => Predicted: 0, Prob: 8.4875, Ground Truth: 0
cross_p7s1_cycle_024.wav => Predicted: 0, Prob: 10.0904, Ground Truth: 0
cross_p7s1_cycle_026.wav => Predicted: 0, Prob: 8.4289, Ground Truth: 0
cross_p7s1_cycle_028.wav => Predicted: 0, Prob: 8.9383, Ground Truth: N/A
cross_p7s1_cycle_030.wav => Predicted: 0, Prob: 11.1856, Ground Truth: 0
cross_p7s1_cycle_032.wav => Predicted: 0, Prob: 9.7511, Ground Truth: 0
cross_p7s1_cycle_034.wav => Predicted: 0, Prob: 10.2689, Ground Truth: 0
cross_p7s1_cycle_036.wav => Predicted: 0, Prob: 9.0098, Ground Truth: 0
cross_p7s1_cycle_038.wav => Predicted: 0, Prob: 10.1283, Ground Truth: 0
cross_p7s1_cycle_040.wav => Predicted: 0, Prob: 9.2298, Ground Truth: 0
cross_p7s1_cycle_042.wav => Predicted: 0, Prob: 11.0981, Ground Truth: 0
cross_p7s1_cycle_044.wav => Predicted: 0, Prob: 4.8358, Ground Truth: N/A
cross_p7s1_cycle_044_augmented_1.wav => Predicted: 1, Prob: 3.1000, Ground Truth: 1
cross_p7s1_cycle_044_augmented_2.wav => Predicted: 1, Prob: 3.7824, Ground Truth: 1
cross_p7s1_cycle_044_augmented_3.wav => Predicted: 0, Prob: 3.2394, Ground Truth: N/A
cross_p7s1_cycle_044_augmented_4.wav => Predicted: 1, Prob: 7.5071, Ground Truth: 1
cross_p7s1_cycle_046.wav => Predicted: 0, Prob: 6.5113, Ground Truth: 0
cross_p7s1_cycle_048.wav => Predicted: 0, Prob: 4.9059, Ground Truth: 0
cross_p7s1_cycle_054.wav => Predicted: 0, Prob: 6.3601, Ground Truth: 0
cross_p7s1_cycle_056.wav => Predicted: 0, Prob: 2.2583, Ground Truth: N/A
cross_p7s1_cycle_058.wav => Predicted: 0, Prob: 6.9014, Ground Truth: 0
cross_p7s1_cycle_062.wav => Predicted: 0, Prob: 9.5921, Ground Truth: N/A
cross_p7s1_cycle_064.wav => Predicted: 0, Prob: 9.0612, Ground Truth: 0
cross_p7s1_cycle_066.wav => Predicted: 0, Prob: 7.2132, Ground Truth: 0
cross_p7s1_cycle_068.wav => Predicted: 0, Prob: 3.7970, Ground Truth: 0
cross_p7s1_cycle_070.wav => Predicted: 0, Prob: 9.1244, Ground Truth: 0
cross_p7s1_cycle_072.wav => Predicted: 0, Prob: 9.5963, Ground Truth: 0
cross_p7s1_cycle_074.wav => Predicted: 0, Prob: 5.5878, Ground Truth: 0
cross_p7s1_cycle_076.wav => Predicted: 0, Prob: 4.7191, Ground Truth: 0
cross_p7s1_cycle_078.wav => Predicted: 0, Prob: 6.1928, Ground Truth: N/A
cross_p7s1_cycle_080.wav => Predicted: 0, Prob: 10.9735, Ground Truth: 0
cross_p7s1_cycle_082.wav => Predicted: 0, Prob: 10.2801, Ground Truth: N/A
cross_p7s1_cycle_084.wav => Predicted: 0, Prob: 9.9425, Ground Truth: 0
cross_p7s1_cycle_086.wav => Predicted: 0, Prob: 7.8347, Ground Truth: N/A
cross_p7s1_cycle_088.wav => Predicted: 0, Prob: 9.2855, Ground Truth: 0
cross_p7s1_cycle_090.wav => Predicted: 0, Prob: 11.0619, Ground Truth: 0
cross_p7s1_cycle_092.wav => Predicted: 0, Prob: 8.6762, Ground Truth: N/A
cross_p7s1_cycle_094.wav => Predicted: 0, Prob: 9.5457, Ground Truth: 0
cross_p7s1_cycle_096.wav => Predicted: 0, Prob: 10.4243, Ground Truth: 0
cross_p7s1_cycle_098.wav => Predicted: 0, Prob: 6.1602, Ground Truth: 0
cross_p7s1_cycle_100.wav => Predicted: 0, Prob: 11.3060, Ground Truth: 0
cross_p7s1_cycle_102.wav => Predicted: 0, Prob: 5.3323, Ground Truth: 0
cross_p7s1_cycle_104.wav => Predicted: 0, Prob: 10.3382, Ground Truth: 0
cross_p7s1_cycle_106.wav => Predicted: 0, Prob: 7.0029, Ground Truth: 0
cross_p7s1_cycle_112.wav => Predicted: 0, Prob: 3.8495, Ground Truth: 0
cross_p7s1_cycle_114.wav => Predicted: 0, Prob: 6.0539, Ground Truth: 0
cross_p7s1_cycle_116.wav => Predicted: 0, Prob: 9.7903, Ground Truth: N/A
cross_p7s1_cycle_118.wav => Predicted: 0, Prob: 2.9349, Ground Truth: N/A
cross_p7s1_cycle_120.wav => Predicted: 0, Prob: 3.5947, Ground Truth: 0
cross_p7s1_cycle_122.wav => Predicted: 0, Prob: 11.2406, Ground Truth: 0
cross_p7s1_cycle_124.wav => Predicted: 0, Prob: 8.1573, Ground Truth: 0
cross_p7s1_cycle_126.wav => Predicted: 0, Prob: 4.4957, Ground Truth: N/A
cross_p7s1_cycle_128.wav => Predicted: 0, Prob: 6.4704, Ground Truth: N/A
cross_p7s1_cycle_130.wav => Predicted: 0, Prob: 8.6960, Ground Truth: 0
cross_p7s1_cycle_132.wav => Predicted: 0, Prob: 9.7739, Ground Truth: 0
cross_p7s1_cycle_134.wav => Predicted: 0, Prob: 10.6633, Ground Truth: 0
cross_p7s1_cycle_136.wav => Predicted: 0, Prob: 5.5499, Ground Truth: 0
cross_p7s1_cycle_138.wav => Predicted: 0, Prob: 6.6007, Ground Truth: 0
cross_p7s1_cycle_142.wav => Predicted: 0, Prob: 6.5087, Ground Truth: 0
cross_p7s1_cycle_144.wav => Predicted: 0, Prob: 4.8212, Ground Truth: N/A
cross_p7s1_cycle_146.wav => Predicted: 0, Prob: 9.2969, Ground Truth: 0
cross_p7s1_cycle_148.wav => Predicted: 0, Prob: 9.6667, Ground Truth: 0
cross_p7s1_cycle_150.wav => Predicted: 0, Prob: 4.6721, Ground Truth: 0
cross_p7s1_cycle_152.wav => Predicted: 0, Prob: 10.2325, Ground Truth: 0
cross_p7s1_cycle_154.wav => Predicted: 0, Prob: 5.8368, Ground Truth: 0
cross_p7s1_cycle_156.wav => Predicted: 0, Prob: 8.4032, Ground Truth: 0
cross_p7s1_cycle_158.wav => Predicted: 0, Prob: 8.6257, Ground Truth: 0
cross_p7s1_cycle_160.wav => Predicted: 0, Prob: 8.0101, Ground Truth: N/A
cross_p7s1_cycle_162.wav => Predicted: 0, Prob: 6.6987, Ground Truth: 0
cross_p7s1_cycle_164.wav => Predicted: 0, Prob: 6.2399, Ground Truth: N/A
cross_p7s1_cycle_166.wav => Predicted: 0, Prob: 6.6698, Ground Truth: 0
cross_p7s1_cycle_168.wav => Predicted: 0, Prob: 8.7011, Ground Truth: 0
cross_p7s1_cycle_170.wav => Predicted: 0, Prob: 7.6801, Ground Truth: 0
cross_p7s1_cycle_172.wav => Predicted: 0, Prob: 6.6987, Ground Truth: N/A
cross_p7s1_cycle_174.wav => Predicted: 0, Prob: 7.3675, Ground Truth: N/A
cross_p7s1_cycle_176.wav => Predicted: 0, Prob: 10.4780, Ground Truth: 0
cross_p7s1_cycle_178.wav => Predicted: 0, Prob: 7.2530, Ground Truth: 0
cross_p7s1_cycle_180.wav => Predicted: 0, Prob: 4.8349, Ground Truth: 0
cross_p7s1_cycle_182.wav => Predicted: 0, Prob: 6.8223, Ground Truth: N/A
cross_p7s1_cycle_184.wav => Predicted: 0, Prob: 9.0793, Ground Truth: 0
cross_p7s1_cycle_186.wav => Predicted: 0, Prob: 10.1538, Ground Truth: 0
cross_p7s1_cycle_192.wav => Predicted: 0, Prob: 6.1898, Ground Truth: 0
cross_p7s1_cycle_194.wav => Predicted: 0, Prob: 10.3799, Ground Truth: 0
cross_p7s1_cycle_196.wav => Predicted: 0, Prob: 10.6366, Ground Truth: 0
cross_p7s1_cycle_198.wav => Predicted: 0, Prob: 10.9776, Ground Truth: 0
cross_p7s1_cycle_200.wav => Predicted: 0, Prob: 10.6066, Ground Truth: 0
cross_p7s1_cycle_202.wav => Predicted: 0, Prob: 5.2138, Ground Truth: N/A
cross_p7s1_cycle_204.wav => Predicted: 0, Prob: 5.2242, Ground Truth: 0
cross_p7s1_cycle_206.wav => Predicted: 0, Prob: 8.4533, Ground Truth: 0
cross_p7s1_cycle_208.wav => Predicted: 0, Prob: 7.0681, Ground Truth: 0
cross_p7s1_cycle_210.wav => Predicted: 0, Prob: 7.0422, Ground Truth: 0
cross_p7s1_cycle_212.wav => Predicted: 0, Prob: 10.9310, Ground Truth: 0
cross_p7s1_cycle_214.wav => Predicted: 0, Prob: 11.0212, Ground Truth: 0
cross_p7s1_cycle_216.wav => Predicted: 0, Prob: 9.3781, Ground Truth: 0
cross_p7s1_cycle_218.wav => Predicted: 0, Prob: 9.0230, Ground Truth: 0
cross_p7s1_cycle_220.wav => Predicted: 0, Prob: 11.1320, Ground Truth: 0
cross_p7s1_cycle_227.wav => Predicted: 0, Prob: 1.1573, Ground Truth: 0
cross_p7s1_cycle_229.wav => Predicted: 0, Prob: 11.1521, Ground Truth: 0
cross_p7s1_cycle_231.wav => Predicted: 0, Prob: 5.8940, Ground Truth: 0
cross_p7s1_cycle_233.wav => Predicted: 0, Prob: 9.2672, Ground Truth: N/A
cross_p7s1_cycle_235.wav => Predicted: 0, Prob: 9.8641, Ground Truth: N/A
cross_p7s1_cycle_237.wav => Predicted: 0, Prob: 10.2022, Ground Truth: 0
cross_p7s1_cycle_239.wav => Predicted: 0, Prob: 9.7424, Ground Truth: N/A
cross_p7s1_cycle_241.wav => Predicted: 0, Prob: 11.5771, Ground Truth: 0
cross_p7s1_cycle_243.wav => Predicted: 0, Prob: 10.3764, Ground Truth: 0
cross_p7s1_cycle_245.wav => Predicted: 0, Prob: 9.8529, Ground Truth: 0
cross_p7s1_cycle_247.wav => Predicted: 0, Prob: 9.2263, Ground Truth: 0
cross_p7s1_cycle_249.wav => Predicted: 0, Prob: 10.8573, Ground Truth: 0
cross_p7s1_cycle_251.wav => Predicted: 0, Prob: 11.2126, Ground Truth: 0
cross_p7s1_cycle_253.wav => Predicted: 0, Prob: 9.1361, Ground Truth: 0
cross_p7s1_cycle_255.wav => Predicted: 0, Prob: 9.6188, Ground Truth: 0
cross_p7s1_cycle_257.wav => Predicted: 0, Prob: 9.9740, Ground Truth: 0
cross_p7s1_cycle_259.wav => Predicted: 0, Prob: 11.3763, Ground Truth: 0
cross_p7s1_cycle_261.wav => Predicted: 0, Prob: 10.7676, Ground Truth: 0
cross_p7s1_cycle_263.wav => Predicted: 0, Prob: 11.7886, Ground Truth: 0
cross_p7s1_cycle_267.wav => Predicted: 0, Prob: 11.4445, Ground Truth: 0
cross_p7s1_cycle_269.wav => Predicted: 0, Prob: 11.1678, Ground Truth: 0
cross_p7s1_cycle_271.wav => Predicted: 0, Prob: 11.2518, Ground Truth: 0
cross_p7s1_cycle_273.wav => Predicted: 0, Prob: 6.5580, Ground Truth: 0
cross_p7s1_cycle_275.wav => Predicted: 0, Prob: 10.2800, Ground Truth: 0
cross_p7s1_cycle_277.wav => Predicted: 0, Prob: 8.9182, Ground Truth: 0
cross_p7s1_cycle_279.wav => Predicted: 0, Prob: 11.0144, Ground Truth: 0
cross_p7s1_cycle_281.wav => Predicted: 0, Prob: 7.9542, Ground Truth: 0
cross_p7s1_cycle_283.wav => Predicted: 0, Prob: 9.1353, Ground Truth: 0
cross_p7s1_cycle_285.wav => Predicted: 0, Prob: 8.1840, Ground Truth: 0
cross_p7s1_cycle_287.wav => Predicted: 0, Prob: 9.7555, Ground Truth: N/A
cross_p7s1_cycle_289.wav => Predicted: 0, Prob: 11.0075, Ground Truth: 0
cross_p7s1_cycle_291.wav => Predicted: 0, Prob: 11.8118, Ground Truth: 0
cross_p7s1_cycle_293.wav => Predicted: 0, Prob: 11.0452, Ground Truth: 0
cross_p7s1_cycle_295.wav => Predicted: 0, Prob: 10.4355, Ground Truth: 0
cross_p7s1_cycle_297.wav => Predicted: 0, Prob: 11.0474, Ground Truth: 0
cross_p7s1_cycle_299.wav => Predicted: 0, Prob: 10.1283, Ground Truth: 0
cross_p7s1_cycle_301.wav => Predicted: 0, Prob: 11.0668, Ground Truth: 0
cross_p7s1_cycle_303.wav => Predicted: 0, Prob: 9.2327, Ground Truth: 0
cross_p7s1_cycle_307.wav => Predicted: 0, Prob: 10.2661, Ground Truth: 0
cross_p7s1_cycle_309.wav => Predicted: 0, Prob: 11.7928, Ground Truth: 0
cross_p7s1_cycle_311.wav => Predicted: 0, Prob: 9.2679, Ground Truth: 0
cross_p7s1_cycle_313.wav => Predicted: 0, Prob: 9.4223, Ground Truth: 0
cross_p7s1_cycle_315.wav => Predicted: 0, Prob: 4.4427, Ground Truth: 0
cross_p7s1_cycle_317.wav => Predicted: 0, Prob: 10.6839, Ground Truth: 0
cross_p7s1_cycle_319.wav => Predicted: 0, Prob: 8.8274, Ground Truth: 0
cross_p7s1_cycle_321.wav => Predicted: 0, Prob: 10.5521, Ground Truth: 0
cross_p7s1_cycle_323.wav => Predicted: 0, Prob: 10.6278, Ground Truth: N/A
cross_p7s1_cycle_325.wav => Predicted: 0, Prob: 10.2774, Ground Truth: 0
cross_p7s1_cycle_327.wav => Predicted: 0, Prob: 9.7948, Ground Truth: 0
cross_p7s1_cycle_329.wav => Predicted: 0, Prob: 11.1038, Ground Truth: 0
cross_p7s1_cycle_331.wav => Predicted: 0, Prob: 10.1587, Ground Truth: 0
cross_p7s1_cycle_333.wav => Predicted: 0, Prob: 6.3382, Ground Truth: 0
cross_p7s1_cycle_335.wav => Predicted: 0, Prob: 10.1066, Ground Truth: N/A
cross_p7s1_cycle_339.wav => Predicted: 0, Prob: 5.6718, Ground Truth: 0
cross_p7s1_cycle_341.wav => Predicted: 0, Prob: 9.3335, Ground Truth: 0
cross_p7s1_cycle_343.wav => Predicted: 0, Prob: 9.3249, Ground Truth: 0
cross_p7s1_cycle_345.wav => Predicted: 0, Prob: 3.5349, Ground Truth: 0
cross_p7s1_cycle_347.wav => Predicted: 0, Prob: 4.8870, Ground Truth: N/A
cross_p7s1_cycle_349.wav => Predicted: 0, Prob: 9.7603, Ground Truth: 0
cross_p7s1_cycle_351.wav => Predicted: 0, Prob: 10.4911, Ground Truth: 0
cross_p7s1_cycle_353.wav => Predicted: 0, Prob: 9.5728, Ground Truth: 0
cross_p7s1_cycle_355.wav => Predicted: 0, Prob: 7.5183, Ground Truth: 0
cross_p7s1_cycle_359.wav => Predicted: 0, Prob: 4.7285, Ground Truth: 0
cross_p7s1_cycle_361.wav => Predicted: 0, Prob: 9.9237, Ground Truth: N/A
cross_p7s1_cycle_363.wav => Predicted: 0, Prob: 9.7622, Ground Truth: 0
cross_p7s1_cycle_365.wav => Predicted: 0, Prob: 4.0669, Ground Truth: 0
cross_p7s1_cycle_367.wav => Predicted: 0, Prob: 9.3213, Ground Truth: N/A
cross_p7s1_cycle_369.wav => Predicted: 0, Prob: 8.4540, Ground Truth: 0
cross_p7s1_cycle_371.wav => Predicted: 0, Prob: 5.6979, Ground Truth: 0
cross_p7s1_cycle_373.wav => Predicted: 0, Prob: 9.4210, Ground Truth: N/A
cross_p7s1_cycle_375.wav => Predicted: 0, Prob: 7.1742, Ground Truth: N/A
cross_p7s1_cycle_382.wav => Predicted: 0, Prob: 10.5073, Ground Truth: 0
cross_p7s1_cycle_384.wav => Predicted: 0, Prob: 9.4812, Ground Truth: 0
cross_p7s1_cycle_386.wav => Predicted: 0, Prob: 8.9398, Ground Truth: 0
cross_p7s1_cycle_388.wav => Predicted: 0, Prob: 6.9770, Ground Truth: 0
cross_p7s1_cycle_390.wav => Predicted: 0, Prob: 7.0127, Ground Truth: N/A
cross_p7s1_cycle_392.wav => Predicted: 0, Prob: 8.3790, Ground Truth: 0
cross_p7s1_cycle_394.wav => Predicted: 0, Prob: 9.2258, Ground Truth: 0
cross_p7s1_cycle_396.wav => Predicted: 0, Prob: 5.0655, Ground Truth: 0
cross_p7s1_cycle_398.wav => Predicted: 0, Prob: 8.2481, Ground Truth: 0
cross_p7s1_cycle_402.wav => Predicted: 0, Prob: 5.0836, Ground Truth: 0
cross_p7s1_cycle_404.wav => Predicted: 0, Prob: 8.3128, Ground Truth: 0
cross_p7s1_cycle_406.wav => Predicted: 0, Prob: 9.9452, Ground Truth: 0
cross_p7s1_cycle_408.wav => Predicted: 0, Prob: 6.0659, Ground Truth: 0
cross_p7s1_cycle_410.wav => Predicted: 0, Prob: 8.7165, Ground Truth: N/A
cross_p7s1_cycle_417.wav => Predicted: 0, Prob: 10.4014, Ground Truth: 0
cross_p7s1_cycle_419.wav => Predicted: 0, Prob: 4.4466, Ground Truth: 0
cross_p7s1_cycle_421.wav => Predicted: 0, Prob: 4.2307, Ground Truth: N/A
cross_p7s1_cycle_423.wav => Predicted: 0, Prob: 5.3138, Ground Truth: 0
cross_p7s1_cycle_425.wav => Predicted: 0, Prob: 7.6989, Ground Truth: 0
cross_p7s1_cycle_427.wav => Predicted: 0, Prob: 6.8685, Ground Truth: 0
cross_p7s1_cycle_429.wav => Predicted: 0, Prob: 7.5429, Ground Truth: 0
cross_p7s1_cycle_431.wav => Predicted: 0, Prob: 6.3957, Ground Truth: 0
cross_p7s1_cycle_433.wav => Predicted: 0, Prob: 7.3565, Ground Truth: 0
cross_p7s1_cycle_435.wav => Predicted: 0, Prob: 2.1984, Ground Truth: 0
cross_p7s1_cycle_437.wav => Predicted: 0, Prob: 7.7977, Ground Truth: 0
cross_p7s1_cycle_439.wav => Predicted: 0, Prob: 10.2086, Ground Truth: 0
cross_p7s1_cycle_441.wav => Predicted: 0, Prob: 8.9138, Ground Truth: 0
cross_p7s1_cycle_443.wav => Predicted: 0, Prob: 7.7407, Ground Truth: 0
cross_p7s1_cycle_445.wav => Predicted: 0, Prob: 2.8341, Ground Truth: N/A
cross_p7s1_cycle_447.wav => Predicted: 0, Prob: 9.8918, Ground Truth: N/A
cross_p7s1_cycle_449.wav => Predicted: 0, Prob: 10.1114, Ground Truth: 0
cross_p7s1_cycle_451.wav => Predicted: 0, Prob: 5.1563, Ground Truth: 0
cross_p7s1_cycle_453.wav => Predicted: 0, Prob: 8.1655, Ground Truth: 0
cross_p7s1_cycle_455.wav => Predicted: 0, Prob: 2.4999, Ground Truth: 0
cross_p7s1_cycle_457.wav => Predicted: 0, Prob: 10.0830, Ground Truth: 0
cross_p7s1_cycle_459.wav => Predicted: 0, Prob: 7.0827, Ground Truth: N/A
cross_p7s1_cycle_463.wav => Predicted: 0, Prob: 7.9666, Ground Truth: 0
cross_p7s1_cycle_465.wav => Predicted: 0, Prob: 8.1694, Ground Truth: 0
cross_p7s1_cycle_467.wav => Predicted: 0, Prob: 7.7375, Ground Truth: 0
cross_p7s1_cycle_469.wav => Predicted: 0, Prob: 4.9895, Ground Truth: 0
cross_p7s1_cycle_471.wav => Predicted: 0, Prob: 9.1075, Ground Truth: N/A
cross_p7s1_cycle_473.wav => Predicted: 0, Prob: 10.2417, Ground Truth: N/A
cross_p7s1_cycle_475.wav => Predicted: 0, Prob: 11.1734, Ground Truth: 0
cross_p7s1_cycle_477.wav => Predicted: 0, Prob: 10.3087, Ground Truth: 0
cross_p7s1_cycle_479.wav => Predicted: 0, Prob: 9.6650, Ground Truth: N/A
cross_p7s1_cycle_481.wav => Predicted: 0, Prob: 10.2998, Ground Truth: 0
cross_p7s1_cycle_483.wav => Predicted: 0, Prob: 8.7489, Ground Truth: N/A
cross_p7s1_cycle_485.wav => Predicted: 0, Prob: 9.6445, Ground Truth: 0
cross_p7s1_cycle_487.wav => Predicted: 0, Prob: 10.9846, Ground Truth: 0
cross_p7s1_cycle_489.wav => Predicted: 0, Prob: 9.2484, Ground Truth: 0
cross_p7s1_cycle_491.wav => Predicted: 0, Prob: 6.2715, Ground Truth: 0
cross_p7s1_cycle_493.wav => Predicted: 0, Prob: 6.5293, Ground Truth: 0
cross_p7s1_cycle_495.wav => Predicted: 0, Prob: 7.8279, Ground Truth: 0
cross_p7s1_cycle_497.wav => Predicted: 0, Prob: 4.2738, Ground Truth: 0
cross_p7s1_cycle_499.wav => Predicted: 0, Prob: 10.6543, Ground Truth: 0
cross_p7s1_cycle_501.wav => Predicted: 0, Prob: 6.5727, Ground Truth: 0
cross_p7s1_cycle_503.wav => Predicted: 0, Prob: 6.1155, Ground Truth: 0
cross_p7s1_cycle_509.wav => Predicted: 0, Prob: 3.4996, Ground Truth: 0
cross_p7s1_cycle_511.wav => Predicted: 0, Prob: 11.0105, Ground Truth: 0
cross_p7s1_cycle_513.wav => Predicted: 0, Prob: 11.0681, Ground Truth: 0
